"nid","alias"
16,"/councillors/len-scoullar"
28,"/homepage"
38,"/social-care-and-health"
39,"/transport-and-streets"
40,"/business-and-trade"
41,"/community-life-leisure-and-libraries"
42,"/council-and-government"
43,"/education-and-learning"
44,"/housing"
49,"/planning-and-environment/planning-and-building-standards"
51,"/councillors/john-armour"
59,"/councillors/rory-colville"
60,"/councillors/robin-currie"
68,"/content/recycling-figures"
69,"/content/home-composting-advice"
70,"/councillors/donald-kelly"
71,"/councillors/alastair-redman"
72,"/councillors/donald-macmillan"
73,"/councillors/douglas-philand"
74,"/councillors/mary-jean-devon"
75,"/councillors/roddy-mccuish"
78,"/councillors/julie-mckenzie"
80,"/councillors/elaine-robertson"
81,"/councillors/yvonne-mcneilly"
82,"/councillors/alan-reid"
85,"/councillors/audrey-e-forrest"
86,"/councillors/bobby-good"
87,"/councillors/jim-findlay"
88,"/councillors/jean-murray-moffat"
89,"/councillors/george-freeman"
98,"/councillors/graham-archibald-hardie"
99,"/councillors/gary-mulvaney"
101,"/councillors/lorna-douglas"
103,"/councillors/david-kinniburgh"
104,"/councillors/ellen-morton"
113,"/transport-and-streets/journey-planning-and-timetables"
115,"/licences/house-multiple-occupation-licence"
121,"/registration-offices-contact-information"
126,"/chord-project/campbeltown-berthing-facility"
129,"/chord-project/campbeltown-kinloch-road-project"
131,"/content/helensburgh-west-bay-esplanade-and-transforming-town-centre"
133,"/chord-project/oban-bay-harbour-project"
135,"/chord-project/rothesay-pavilion-project"
136,"/RothesayTHI"
144,"/chord-project/dunoon-waterfront-project"
149,"/chord-town/campbeltown-chord-projects"
151,"/chord-town/oban-chord-projects"
152,"/chord-town/rothesay-chord-projects"
163,"/community-life-and-leisure/antisocial-behaviour"
164,"/content/community-safety-partnership"
169,"/chord/campbeltown-berthing-facility-progress"
170,"/business-and-trade/business-rates"
172,"/content/campbeltown-kinloch-road-project-updates"
265,"/content/st-muns-primary-school"
267,"/content/st-columbas-primary-school"
268,"/content/campbeltown-grammar-school"
270,"/content/small-isles-primary-school"
275,"/content/barcaldine-primary-school"
276,"/content/arrochar-primary-school"
278,"/content/tobermory-high-school"
284,"/content/rhu-primary-school"
288,"/content/strone-primary-school"
293,"/content/park-primary-school"
295,"/content/clachan-primary-school"
296,"/content/salen-primary-school"
298,"/content/rothesay-joint-campus"
299,"/content/castlehill-primary-school"
301,"/content/dervaig-primary-school"
303,"/content/rosneath-primary-school"
304,"/content/luss-primary-school"
305,"/content/rockfield-primary-school"
308,"/content/taynuilt-primary-school"
314,"/content/cardross-primary-school"
315,"/content/dunbeg-primary-school"
318,"/content/tiree-high-school"
321,"/content/ardrishaig-primary-school"
326,"/content/dalintober-primary-school"
328,"/content/port-charlotte-primary-school"
329,"/content/arinagour-primary-school"
330,"/content/bowmore-primary-school"
331,"/content/oban-high-school"
336,"/content/tarbert-academy"
340,"/content/bunessan-primary-school"
342,"/content/north-bute-primary-school"
344,"/content/colgrain-primary-school"
347,"/content/rothesay-townscape-heritage-initiative-project-updates"
353,"/content/strachur-primary-school-0"
703,"/content/dunoon-waterfront-project-updates"
935,"/content/carradale-primary-school-6"
1053,"/content/helensburgh-chord-projects-key-milestones"
1054,"/content/helensburgh-chord-project-updates"
1730,"/content/drumlemble-primary-school-15"
1815,"/content/craignish-primary-school-16"
1893,"/content/achaleven-primary-school-17"
2892,"/content/luing-primary-school-29"
2913,"/content/kilninver-primary-school-29"
2936,"/content/iona-primary-school-29"
2942,"/content/kirn-primary-school-29"
3574,"/content/easdale-primary-school-37"
3636,"/content/business-gateway-frequently-asked-questions"
