ID,Area,Location
1,Bute and Cowal,Ardentinny
2,Bute and Cowal,Bute
3,Bute and Cowal,Cairndow
4,Bute and Cowal,Colintraive & Glendaruel
5,Bute and Cowal,Dunoon
6,Bute and Cowal,Hunter's Quay
7,Bute and Cowal,Kilfinan
8,Bute and Cowal,Kilmun
9,Bute and Cowal,Lochgoil
10,Bute and Cowal,Sandbank
11,Bute and Cowal,South Cowal
12,Bute and Cowal,Strachur
13,Helensburgh and Lomond,"Arrochar, Tarbet & Ardlui"
14,Helensburgh and Lomond,Cardross
15,Helensburgh and Lomond,Cove & Kilcreggan
16,Helensburgh and Lomond,Garelochhead
17,Helensburgh and Lomond,Helensburgh
18,Helensburgh and Lomond,Luss & Arden
19,Helensburgh and Lomond,Rhu & Shandon
20,Helensburgh and Lomond,Rosneath & Clynder
21,"Mid-Argyll, Kintyre and Islay",Ardrishaig
22,"Mid-Argyll, Kintyre and Islay",Campbeltown
23,"Mid-Argyll, Kintyre and Islay",Colonsay
24,"Mid-Argyll, Kintyre and Islay",Craignish
25,"Mid-Argyll, Kintyre and Islay",Dunadd
26,"Mid-Argyll, Kintyre and Islay",East Kintyre
27,"Mid-Argyll, Kintyre and Islay",Furnace
28,"Mid-Argyll, Kintyre and Islay",Gigha
29,"Mid-Argyll, Kintyre and Islay",Inveraray
30,"Mid-Argyll, Kintyre and Islay",Islay
31,"Mid-Argyll, Kintyre and Islay",Jura
32,"Mid-Argyll, Kintyre and Islay",Lochgilphead
33,"Mid-Argyll, Kintyre and Islay",North Knapdale
34,"Mid-Argyll, Kintyre and Islay",South Knapdale
35,"Mid-Argyll, Kintyre and Islay",Southend
36,"Mid-Argyll, Kintyre and Islay",Tarbert and Skipness
37,"Mid-Argyll, Kintyre and Islay",The Laggan
38,"Mid-Argyll, Kintyre and Islay",West Kintyre
39,"Mid-Argyll, Kintyre and Islay",West Lochfyne
40,"Oban, Lorn and the Isles",Appin
41,"Oban, Lorn and the Isles",Ardchattan
42,"Oban, Lorn and the Isles",Avich & Kilchrenan
43,"Oban, Lorn and the Isles",Coll
44,"Oban, Lorn and the Isles",Connel
45,"Oban, Lorn and the Isles",Dunbeg
46,"Oban, Lorn and the Isles",Glenorchy & Innishail
47,"Oban, Lorn and the Isles",Iona
48,"Oban, Lorn and the Isles",Kilmore & Kilbride
49,"Oban, Lorn and the Isles",Kilninver & Kilmelford
50,"Oban, Lorn and the Isles",Lismore
51,"Oban, Lorn and the Isles",Luing
52,"Oban, Lorn and the Isles",Mull
53,"Oban, Lorn and the Isles",Oban
54,"Oban, Lorn and the Isles",Seil & Easdale
55,"Oban, Lorn and the Isles",Taynuilt
56,"Oban, Lorn and the Isles",Tiree
